Purpose,Channel,Dimmer,Address,Position,Unit#,Instrument Type,Load,Accessory,Color,Gobo,Gobo Size,Circuit Name,Circuit#,Cable,Data Cable,Mark,System,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15,User 16,User 17,User 18,User 19,User 20,User 21,User 22,User 23,User 24,Scenery,Focus L/R,Focus U/D,Focus Note,US,DS,SR,SL,Top,Bot,Focus Status,Axis,Beam,VW Layer,VW Label Legend,VW Class,VW X Coordinate,VW Y Coordinate,VW Z Coordinate,VW Symbol Rotation,VW Focus Point,Order of Light within Position,Lightwright ID,Vectorworks UID,Symbol,On Light Plot,Universe,DMX#,Dimmer Phase,Position Order,Work Note Status,Device Type,Color Frame,"When, What, and Who Changed",Position & Unit#,Instrument Type & Accessory,Instrument Type & Load,Instrument Type & Accessory & Load,Circuit Name & Circuit#,Color & Gobo,Color Flags,DMX Qty,Instrument Type Weight
,(143),90,1/90,LX1 (Fly4),9,ETC Source4 26deg,750w,26 deg Lens,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,9,7B519B:3390:0:D:Jonat,,,Adding,1,90,,1,,Light,,10/10/2023 at 14:24 - Usr3  by me,LX1 (Fly4) #9,ETC Source4 26deg+26 deg Lens,ETC Source4 26deg 750w,ETC Source4 26deg+26 deg Lens 750w,,R371,,1,8.5 kg
,(54),85,2/55,LX1 (Fly4),10,Chauvet F915FC,260w,Barndoors,,,,,,,FP202-2,,B,,-> 51 -> 52 -> 53,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,10,358F7B:3363:3B:15:Jonat,,,Adding,2,55,,1,,Light,,10/10/2023 at 19:31 - Usr2  by me,LX1 (Fly4) #10,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
,(222),102,1/102,LX1 (Fly4),11,ETC Source4 50deg,750w,,R371,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,11,83165B:4DD0:2C:D:Jonat,,,No,1,102,,1,,Light,,,LX1 (Fly4) #11,ETC Source4 50deg,ETC Source4 50deg 750w,ETC Source4 50deg 750w,,R371,,1,8.5 kg
,(81),103,2/127,LX2 (Fly10),1,Varilite VL2600 Profile,820w,,,,,,,,FP203-2,,B,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,2C94C1:32C8:37:35:Jonat,,,No,2,127,,2,,Moving Light,,10/10/2023 at 19:15 - DataCbl  by me,LX2 (Fly10) #1,Varilite VL2600 Profile,Varilite VL2600 Profile 820w,Varilite VL2600 Profile 820w,,,,47,32 kg
,(82),104,2/174,LX2 (Fly10),2,Varilite VL2600 Profile,820w,,,,,,,,FP203-2,,B,,-> 81,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,862190:32D1:37:39:Jonat,,,No,2,174,,2,,Moving Light,,10/10/2023 at 19:31 - Usr2  by me,LX2 (Fly10) #2,Varilite VL2600 Profile,Varilite VL2600 Profile 820w,Varilite VL2600 Profile 820w,,,,47,32 kg
,(76),105,2/420,LX2 (Fly10),3,GLP S350,550w,,,,,,,,FP203-2,,B,,-> 81 -> 82,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,3,184CE7:32EC:38:12:Jonat,,,Adding,2,420,,2,,Moving Light,,10/10/2023 at 19:32 - Usr2  by me,LX2 (Fly10) #3,GLP S350,GLP S350 550w,GLP S350 550w,,,,35,25.5 kg
,(83),106,2/221,LX2 (Fly10),4,Varilite VL2600 Profile,820w,,,,,,,,FP203-2,,B,,-> 81 -> 82 -> 76,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,4,335BFF:32DA:38:2:Jonat,,,No,2,221,,2,,Moving Light,,10/10/2023 at 19:31 - Usr2  by me,LX2 (Fly10) #4,Varilite VL2600 Profile,Varilite VL2600 Profile 820w,Varilite VL2600 Profile 820w,,,,47,32 kg
,(84),107,2/268,LX2 (Fly10),5,Varilite VL2600 Profile,820w,,,,,,,,FP203-2,,B,,-> 81 -> 82 -> 76 -> 83,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,5,3020DC:32E3:38:7:Jonat,,,No,2,268,,2,,Moving Light,,10/10/2023 at 19:32 - Usr2  by me,LX2 (Fly10) #5,Varilite VL2600 Profile,Varilite VL2600 Profile 820w,Varilite VL2600 Profile 820w,,,,47,32 kg
,(91),115,4/254,LX3 (Fly14),1,GLP X4L,900w,,,,,,,,FP204-1,,B,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,854DF0:329B:36:2F:Jonat,,,Adding,4,254,,3,,Moving Light,,10/10/2023 at 19:17 - DataCbl  by me,LX3 (Fly14) #1,GLP X4L,GLP X4L 900w,GLP X4L 900w,,,,31,17 kg
,(55),116,4/200,LX3 (Fly14),2,Chauvet F915FC,260w,Barndoors,,,,,,,FP204-1,,B,,-> 91,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,31FA81:32AD:37:8:Jonat,,,Adding,4,200,,3,,Light,,10/10/2023 at 19:36 - Usr2  by me,LX3 (Fly14) #2,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
