Purpose,Channel,Dimmer,Address,Position,Unit#,Instrument Type,Load,Accessory,Color,Gobo,Gobo Size,Circuit Name,Circuit#,Cable,Data Cable,Mark,System,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15,User 16,User 17,User 18,User 19,User 20,User 21,User 22,User 23,User 24,Scenery,Focus L/R,Focus U/D,Focus Note,US,DS,SR,SL,Top,Bot,Focus Status,Axis,Beam,VW Layer,VW Label Legend,VW Class,VW X Coordinate,VW Y Coordinate,VW Z Coordinate,VW Symbol Rotation,VW Focus Point,Order of Light within Position,Lightwright ID,Vectorworks UID,Symbol,On Light Plot,Universe,DMX#,Dimmer Phase,Position Order,Work Note Status,Device Type,Color Frame,"When, What, and Who Changed",Position & Unit#,Instrument Type & Accessory,Instrument Type & Load,Instrument Type & Accessory & Load,Circuit Name & Circuit#,Color & Gobo,Color Flags,DMX Qty,Instrument Type Weight
,(906),20,1/20,Under Set,,Music Stands,,,,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,6,5A032D:4BF1:5:36:Jonat,,,Adding,1,20,,42,,Light,,17/10/2023 at 09:19 - Addr  by me,Under Set #,Music Stands,Music Stands,Music Stands,,,,1,
,(905),19,1/19,Under Set,,Music Stands,,,,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,7,3C4699:4BEB:5:34:Jonat,,,Adding,1,19,,42,,Light,,17/10/2023 at 09:19 - Addr  by me,Under Set #,Music Stands,Music Stands,Music Stands,,,,1,
,(904),17,1/17,Under Set,,Music Stands,,,,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,8,2F8036:4BE5:5:31:Jonat,,,Adding,1,17,,42,,Light,,17/10/2023 at 09:19 - Addr  by me,Under Set #,Music Stands,Music Stands,Music Stands,,,,1,
,(903),16,1/16,Under Set,,Music Stands,,,,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,9,4AE410:4BDF:5:2E:Jonat,,,Adding,1,16,,42,,Light,,17/10/2023 at 09:19 - Addr  by me,Under Set #,Music Stands,Music Stands,Music Stands,,,,1,
,(902),15,1/15,Under Set,,Music Stands,,,,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,10,734FC:4BD9:5:2C:Jonat,,,Adding,1,15,,42,,Light,,17/10/2023 at 09:19 - Addr  by me,Under Set #,Music Stands,Music Stands,Music Stands,,,,1,
,(901),15,1/15,Under Set,,Music Stands,,,,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,11,C181B:41D0:1D:24:Jonat,,,No,1,15,,42,,Light,,17/10/2023 at 09:19 - Addr  by me,Under Set #,Music Stands,Music Stands,Music Stands,,,,1,
,(161),23,3/1,Under Set,1,Chauvet B-1965FC,450w,,,,,,,,FP003-1,,B,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,12,22C7B0:3436:7:4:Jonat,,,Adding,3,1,,42,,Light,,10/10/2023 at 19:30 - DataCbl  by me,Under Set #1,Chauvet B-1965FC,Chauvet B-1965FC 450w,Chauvet B-1965FC 450w,,,,96,14.5 kg
,(162),14,3/97,Under Set,2,Chauvet B-1965FC,450w,,,,,,,,FP004-1,,B,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,13,51AEF0:343F:7:B:Jonat,,,Adding,3,97,,42,,Light,,10/10/2023 at 19:30 - DataCbl  by me,Under Set #2,Chauvet B-1965FC,Chauvet B-1965FC 450w,Chauvet B-1965FC 450w,,,,96,14.5 kg
,(151),31,1/31,Footlights,1,Par 16 Birdie,50w,,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,526C70:365A:37:1F:Jonat,,,Adding,1,31,,43,,Light,,10/10/2023 at 14:26 - Usr3  by me,Footlights #1,Par 16 Birdie,Par 16 Birdie 50w,Par 16 Birdie 50w,,R371,,1,0.2 kg
,(151),31,1/31,Footlights,1,Par 16 Birdie,50w,,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,27B028:3448:7:1D:Jonat,,,Adding,1,31,,43,,Light,,10/10/2023 at 14:26 - Usr3  by me,Footlights #1,Par 16 Birdie,Par 16 Birdie 50w,Par 16 Birdie 50w,,R371,,1,0.2 kg
,(152),32,1/32,Footlights,2,Par 16 Birdie,50w,,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,3,3B5A85:3663:37:24:Jonat,,,Adding,1,32,,43,,Light,,10/10/2023 at 14:26 - Usr3  by me,Footlights #2,Par 16 Birdie,Par 16 Birdie 50w,Par 16 Birdie 50w,,R371,,1,0.2 kg
,(152),32,1/32,Footlights,2,Par 16 Birdie,50w,,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,4,2218B7:3451:7:21:Jonat,,,Adding,1,32,,43,,Light,,10/10/2023 at 14:26 - Usr3  by me,Footlights #2,Par 16 Birdie,Par 16 Birdie 50w,Par 16 Birdie 50w,,R371,,1,0.2 kg
,(153),33,1/33,Footlights,3,Par 16 Birdie,50w,,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,5,545C2E:366C:37:28:Jonat,,,Adding,1,33,,43,,Light,,10/10/2023 at 14:26 - Usr3  by me,Footlights #3,Par 16 Birdie,Par 16 Birdie 50w,Par 16 Birdie 50w,,R371,,1,0.2 kg
,(153),33,1/33,Footlights,3,Par 16 Birdie,50w,,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,6,31BACF:345A:7:25:Jonat,,,Adding,1,33,,43,,Light,,10/10/2023 at 14:26 - Usr3  by me,Footlights #3,Par 16 Birdie,Par 16 Birdie 50w,Par 16 Birdie 50w,,R371,,1,0.2 kg
